Percentage served,Time in ms
0,5.053
1,15.599
2,21.372
3,25.050
4,33.096
5,91.184
6,92.766
7,98.048
8,104.011
9,115.153
10,322.555
11,356.865
12,363.687
13,364.996
14,368.797
15,370.513
16,371.265
17,371.408
18,371.659
19,371.716
20,371.790
21,371.916
22,372.098
23,372.275
24,372.515
25,372.644
26,372.768
27,372.997
28,373.231
29,373.315
30,373.386
31,373.459
32,373.526
33,373.684
34,374.082
35,374.245
36,374.383
37,374.510
38,374.667
39,374.762
40,374.863
41,375.039
42,375.181
43,375.267
44,375.409
45,375.485
46,375.762
47,375.851
48,376.174
49,376.380
50,376.536
51,376.659
52,376.749
53,376.984
54,377.486
55,378.046
56,381.221
57,385.916
58,392.249
59,398.453
60,401.485
61,402.569
62,403.241
63,403.493
64,403.611
65,403.707
66,404.197
67,405.127
68,406.437
69,407.217
70,407.997
71,408.694
72,409.467
73,410.031
74,410.176
75,410.289
76,410.365
77,410.460
78,410.551
79,410.667
80,410.795
81,410.885
82,411.080
83,411.205
84,411.503
85,411.680
86,411.914
87,412.056
88,412.287
89,412.871
90,413.561
91,414.360
92,414.999
93,416.031
94,416.763
95,417.376
96,418.522
97,419.613
98,1345.149
99,1355.249
100,1375.837
