Percentage served,Time in ms
0,2.048
1,5.093
2,8.827
3,10.987
4,11.835
5,13.107
6,14.114
7,15.072
8,16.225
9,17.220
10,18.117
11,19.010
12,19.544
13,19.936
14,20.346
15,20.866
16,21.103
17,21.755
18,22.411
19,23.098
20,23.581
21,24.046
22,24.400
23,24.914
24,25.432
25,25.827
26,26.270
27,26.673
28,27.088
29,27.507
30,28.221
31,29.090
32,29.811
33,30.424
34,30.950
35,31.357
36,31.792
37,32.435
38,33.018
39,33.786
40,35.007
41,36.750
42,38.252
43,40.051
44,41.865
45,43.531
46,47.793
47,54.091
48,70.740
49,82.889
50,98.234
51,107.336
52,125.509
53,131.682
54,133.674
55,136.565
56,138.256
57,140.254
58,142.581
59,144.386
60,146.751
61,149.476
62,154.967
63,162.062
64,168.795
65,176.011
66,184.114
67,190.002
68,193.811
69,195.346
70,196.463
71,197.368
72,198.674
73,199.674
74,200.781
75,201.759
76,202.910
77,203.917
78,205.094
79,206.771
80,208.065
81,209.265
82,211.213
83,213.180
84,214.883
85,217.723
86,224.852
87,227.244
88,228.360
89,232.513
90,246.424
91,255.334
92,268.261
93,306.973
94,350.970
95,1152.753
96,1231.632
97,1251.625
98,1313.255
99,2269.495
100,3324.911
