Percentage served,Time in ms
0,0.017
1,10.666
2,12.812
3,15.290
4,17.909
5,20.569
6,22.039
7,23.185
8,24.009
9,24.837
10,26.153
11,27.627
12,29.069
13,30.585
14,32.225
15,33.211
16,34.144
17,35.450
18,36.309
19,37.516
20,39.489
21,41.508
22,43.201
23,44.334
24,45.467
25,46.316
26,47.557
27,48.734
28,50.466
29,52.468
30,54.553
31,55.891
32,57.473
33,58.879
34,61.373
35,63.120
36,65.101
37,66.534
38,68.629
39,71.253
40,73.739
41,75.081
42,77.397
43,79.447
44,81.392
45,83.414
46,85.493
47,89.783
48,98.492
49,108.762
50,120.193
51,144.520
52,159.624
53,167.939
54,172.910
55,183.133
56,211.606
57,225.885
58,231.473
59,237.413
60,243.800
61,249.854
62,258.164
63,265.133
64,272.099
65,279.187
66,285.861
67,290.187
68,295.988
69,300.892
70,306.921
71,314.503
72,324.822
73,330.094
74,335.082
75,347.625
76,354.616
77,370.786
78,441.252
79,531.587
80,613.477
81,651.991
82,796.408
83,1181.104
84,1236.991
85,1266.895
86,1292.988
87,1340.172
88,1411.052
89,1543.732
90,1607.406
91,1685.710
92,1735.605
93,1773.323
94,2278.743
95,2410.505
96,3285.031
97,3429.659
98,3955.948
99,4566.873
100,40350.367
