Percentage served,Time in ms
0,0.015
1,8.316
2,12.679
3,14.974
4,19.294
5,21.874
6,24.016
7,25.582
8,27.409
9,29.481
10,31.348
11,32.517
12,33.407
13,34.898
14,36.173
15,37.999
16,40.144
17,42.246
18,44.000
19,44.880
20,46.714
21,47.981
22,49.567
23,50.670
24,52.194
25,53.666
26,56.329
27,59.004
28,62.683
29,64.217
30,66.027
31,67.813
32,69.598
33,71.677
34,73.886
35,75.707
36,79.786
37,84.059
38,86.515
39,88.417
40,92.324
41,97.019
42,101.709
43,104.997
44,110.036
45,115.077
46,119.683
47,123.032
48,129.036
49,133.650
50,140.703
51,157.858
52,165.342
53,180.521
54,192.544
55,234.623
56,250.895
57,262.902
58,275.285
59,284.759
60,293.834
61,303.141
62,307.877
63,311.837
64,316.041
65,325.371
66,342.636
67,354.623
68,364.965
69,377.734
70,392.780
71,419.434
72,440.865
73,476.195
74,489.100
75,501.638
76,534.612
77,610.946
78,946.023
79,1298.214
80,1334.702
81,1372.263
82,1405.445
83,1464.924
84,1505.121
85,1582.789
86,1627.090
87,1681.917
88,1856.870
89,1966.718
90,2467.403
91,2507.271
92,3371.755
93,3640.438
94,3786.877
95,4080.260
96,4961.612
97,7095.273
98,20453.889
99,41183.370
100,47580.781
