Percentage served,Time in ms
0,0.026
1,0.056
2,0.061
3,0.064
4,0.066
5,0.067
6,0.068
7,0.068
8,0.069
9,0.069
10,0.070
11,0.070
12,0.070
13,0.071
14,0.071
15,0.071
16,0.072
17,0.072
18,0.072
19,0.073
20,0.073
21,0.073
22,0.073
23,0.074
24,0.074
25,0.074
26,0.075
27,0.075
28,0.076
29,0.076
30,0.077
31,0.078
32,0.078
33,0.079
34,0.080
35,0.082
36,0.083
37,0.085
38,0.089
39,0.096
40,0.102
41,0.105
42,0.107
43,0.109
44,0.112
45,0.115
46,0.118
47,0.121
48,0.125
49,0.131
50,0.137
51,0.144
52,0.151
53,0.164
54,0.187
55,0.206
56,0.223
57,0.239
58,0.257
59,0.277
60,0.301
61,0.325
62,0.353
63,0.380
64,0.421
65,0.461
66,0.514
67,0.572
68,0.642
69,0.730
70,0.823
71,0.948
72,1.105
73,1.299
74,1.566
75,1.912
76,2.407
77,3.190
78,4.103
79,5.389
80,7.012
81,9.715
82,14.030
83,18.962
84,28.291
85,41.501
86,63.002
87,96.068
88,126.780
89,308.863
90,1156.355
91,2759.632
92,3032.184
93,4732.106
94,4936.678
95,6068.608
96,7241.802
97,8278.521
98,8485.437
99,9629.394
100,10653.661
