starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 26 17:11:13 2022	1669482673	0	1	1	0
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	7	7	7
Sat Nov 26 17:11:13 2022	1669482673	0	8	8	8
Sat Nov 26 17:11:13 2022	1669482673	0	8	8	8
Sat Nov 26 17:11:13 2022	1669482673	0	8	8	8
Sat Nov 26 17:11:13 2022	1669482673	0	8	8	8
Sat Nov 26 17:11:13 2022	1669482673	0	8	8	8
Sat Nov 26 17:11:13 2022	1669482673	0	8	8	8
Sat Nov 26 17:11:13 2022	1669482673	0	8	8	8
Sat Nov 26 17:11:13 2022	1669482673	0	8	8	8
Sat Nov 26 17:11:13 2022	1669482673	0	9	9	9
Sat Nov 26 17:11:13 2022	1669482673	0	9	9	9
Sat Nov 26 17:11:13 2022	1669482673	0	9	9	9
Sat Nov 26 17:11:13 2022	1669482673	0	9	9	9
Sat Nov 26 17:11:13 2022	1669482673	0	9	9	9
Sat Nov 26 17:11:13 2022	1669482673	0	9	9	9
Sat Nov 26 17:11:13 2022	1669482673	0	9	9	9
