starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 26 17:11:20 2022	1669482680	0	1	1	0
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	3	3	3
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	3
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	4	4	4
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
Sat Nov 26 17:11:20 2022	1669482680	0	5	5	5
