Percentage served,Time in ms
0,0.006
1,0.075
2,0.101
3,0.111
4,0.116
5,0.121
6,0.126
7,0.134
8,0.145
9,0.157
10,0.167
11,0.175
12,0.186
13,0.201
14,0.212
15,0.222
16,0.231
17,0.240
18,0.253
19,0.271
20,0.289
21,0.305
22,0.324
23,0.343
24,0.360
25,0.381
26,0.403
27,0.422
28,0.448
29,0.473
30,0.498
31,0.527
32,0.552
33,0.581
34,0.612
35,0.646
36,0.682
37,0.717
38,0.758
39,0.798
40,0.841
41,0.891
42,0.949
43,1.005
44,1.072
45,1.140
46,1.207
47,1.281
48,1.376
49,1.477
50,1.592
51,1.718
52,1.853
53,2.005
54,2.184
55,2.388
56,2.607
57,2.858
58,3.148
59,3.508
60,3.904
61,4.309
62,4.802
63,5.349
64,6.073
65,6.747
66,7.591
67,8.604
68,10.018
69,11.234
70,12.733
71,14.507
72,16.708
73,19.245
74,22.110
75,26.101
76,30.761
77,37.265
78,44.168
79,52.861
80,62.373
81,77.753
82,93.524
83,114.739
84,149.147
85,220.668
86,536.628
87,1059.342
88,1461.824
89,1963.079
90,3135.987
91,5052.497
92,6827.382
93,10145.385
94,10310.493
95,10320.431
96,10817.011
97,11831.251
98,11842.079
99,11977.470
100,11036.618
