Percentage served,Time in ms
0,0.002
1,0.072
2,0.087
3,0.108
4,0.114
5,0.118
6,0.125
7,0.131
8,0.142
9,0.152
10,0.159
11,0.165
12,0.171
13,0.178
14,0.189
15,0.202
16,0.211
17,0.217
18,0.223
19,0.232
20,0.240
21,0.248
22,0.262
23,0.278
24,0.293
25,0.312
26,0.336
27,0.358
28,0.380
29,0.408
30,0.441
31,0.476
32,0.520
33,0.567
34,0.612
35,0.669
36,0.726
37,0.795
38,0.868
39,0.936
40,1.009
41,1.083
42,1.164
43,1.251
44,1.338
45,1.455
46,1.552
47,1.673
48,1.804
49,2.008
50,2.164
51,2.347
52,2.551
53,2.730
54,2.874
55,3.040
56,3.205
57,3.364
58,3.585
59,3.837
60,4.187
61,4.513
62,4.872
63,5.349
64,5.852
65,6.446
66,7.154
67,7.982
68,8.872
69,9.752
70,10.787
71,12.206
72,13.776
73,15.407
74,16.895
75,18.829
76,20.512
77,22.486
78,24.691
79,27.127
80,31.903
81,36.487
82,40.937
83,47.004
84,52.517
85,62.622
86,74.799
87,102.152
88,128.647
89,252.277
90,496.554
91,793.485
92,952.513
93,1084.990
94,1567.095
95,2167.916
96,3986.025
97,4156.110
98,4839.380
99,4917.842
100,4408.416
