Percentage served,Time in ms
0,0.010
1,0.076
2,0.104
3,0.110
4,0.115
5,0.120
6,0.126
7,0.136
8,0.148
9,0.160
10,0.168
11,0.177
12,0.193
13,0.207
14,0.218
15,0.225
16,0.233
17,0.243
18,0.255
19,0.271
20,0.287
21,0.303
22,0.323
23,0.342
24,0.358
25,0.379
26,0.400
27,0.420
28,0.446
29,0.471
30,0.501
31,0.527
32,0.559
33,0.589
34,0.623
35,0.659
36,0.697
37,0.737
38,0.783
39,0.827
40,0.876
41,0.925
42,0.975
43,1.022
44,1.068
45,1.125
46,1.184
47,1.251
48,1.318
49,1.389
50,1.469
51,1.566
52,1.665
53,1.766
54,1.874
55,1.985
56,2.119
57,2.287
58,2.456
59,2.652
60,2.899
61,3.199
62,3.550
63,3.940
64,4.379
65,4.906
66,5.446
67,6.150
68,6.916
69,7.783
70,8.747
71,9.817
72,11.170
73,13.170
74,15.867
75,18.669
76,22.447
77,28.399
78,34.395
79,44.232
80,61.465
81,81.739
82,103.998
83,125.671
84,146.426
85,170.688
86,202.234
87,248.972
88,470.322
89,1079.487
90,1362.766
91,2856.746
92,24070.172
93,27686.626
94,28414.769
95,30504.427
96,30687.702
97,30942.268
98,71555.164
99,85282.595
100,114473.730
