Percentage served,Time in ms
0,3.876
1,33.306
2,42.291
3,55.145
4,108.065
5,110.558
6,161.287
7,263.479
8,299.340
9,319.158
10,336.578
11,353.395
12,365.816
13,376.614
14,386.839
15,399.650
16,415.362
17,433.442
18,453.939
19,465.393
20,467.155
21,468.289
22,469.189
23,470.089
24,471.209
25,471.793
26,472.696
27,474.086
28,475.307
29,476.240
30,477.618
31,478.872
32,480.199
33,481.586
34,485.014
35,488.716
36,492.846
37,503.940
38,514.713
39,521.038
40,525.882
41,534.261
42,539.188
43,545.055
44,547.366
45,548.983
46,551.121
47,552.375
48,553.457
49,554.517
50,555.686
51,556.511
52,557.218
53,558.092
54,559.303
55,560.222
56,561.108
57,561.719
58,562.306
59,562.930
60,563.345
61,563.785
62,564.348
63,565.485
64,567.629
65,569.099
66,572.630
67,573.267
68,573.971
69,574.843
70,575.698
71,576.138
72,576.803
73,577.652
74,578.490
75,579.630
76,580.563
77,582.559
78,587.813
79,590.739
80,593.477
81,597.164
82,600.522
83,603.462
84,607.415
85,612.936
86,614.751
87,616.088
88,617.667
89,619.711
90,621.208
91,621.787
92,622.300
93,622.692
94,623.044
95,623.458
96,624.152
97,624.664
98,625.232
99,627.009
100,1589.300
