Percentage served,Time in ms
0,0.030
1,0.071
2,0.087
3,0.107
4,0.113
5,0.118
6,0.124
7,0.131
8,0.140
9,0.150
10,0.159
11,0.167
12,0.174
13,0.181
14,0.196
15,0.211
16,0.219
17,0.227
18,0.233
19,0.240
20,0.250
21,0.262
22,0.278
23,0.292
24,0.307
25,0.327
26,0.346
27,0.362
28,0.380
29,0.404
30,0.428
31,0.448
32,0.472
33,0.504
34,0.528
35,0.557
36,0.589
37,0.627
38,0.666
39,0.712
40,0.760
41,0.821
42,0.880
43,0.939
44,0.997
45,1.066
46,1.139
47,1.214
48,1.297
49,1.390
50,1.490
51,1.627
52,1.785
53,1.913
54,2.062
55,2.225
56,2.393
57,2.605
58,2.798
59,2.977
60,3.282
61,3.655
62,4.108
63,4.612
64,5.184
65,5.798
66,6.450
67,7.133
68,7.959
69,8.825
70,9.857
71,11.038
72,12.515
73,14.051
74,15.977
75,18.102
76,20.377
77,23.977
78,27.768
79,31.742
80,35.856
81,41.559
82,48.876
83,57.202
84,66.364
85,78.757
86,95.710
87,108.046
88,154.527
89,584.912
90,1046.334
91,1311.355
92,1648.883
93,2238.301
94,3995.099
95,4056.864
96,4030.422
97,4231.775
98,4263.850
99,4325.559
100,4305.545
