Percentage served,Time in ms
0,3.215
1,26.788
2,33.616
3,39.634
4,44.659
5,51.061
6,57.754
7,59.914
8,62.679
9,63.915
10,64.602
11,65.904
12,67.543
13,69.161
14,72.184
15,73.871
16,79.578
17,87.223
18,97.864
19,106.177
20,137.529
21,153.141
22,169.910
23,185.459
24,190.731
25,199.249
26,209.654
27,218.602
28,226.482
29,228.748
30,240.814
31,245.586
32,248.649
33,250.364
34,251.841
35,252.657
36,254.161
37,255.418
38,256.149
39,256.984
40,257.545
41,257.890
42,259.952
43,263.570
44,271.768
45,282.444
46,293.047
47,296.126
48,299.615
49,301.787
50,302.213
51,302.977
52,303.860
53,305.342
54,307.460
55,307.836
56,308.928
57,310.023
58,311.456
59,312.475
60,316.323
61,319.261
62,321.705
63,323.168
64,327.391
65,329.568
66,334.426
67,343.695
68,351.698
69,356.730
70,363.178
71,370.899
72,376.618
73,382.152
74,384.477
75,388.002
76,390.734
77,396.930
78,401.715
79,408.487
80,415.550
81,422.476
82,427.479
83,430.284
84,431.553
85,432.195
86,432.548
87,433.079
88,434.958
89,435.548
90,436.045
91,436.384
92,436.640
93,437.203
94,437.968
95,438.456
96,439.382
97,439.769
98,440.727
99,444.118
100,474.025
